&nbsp&nbsp&nbsp&nbsp■异动股寻踪
&nbsp&nbsp&nbsp&nbsp近5日成交量增幅较大个股

    代码         名称   5日均量较20日均量增幅    5日均量(手)   近5日涨跌幅(％)   市盈率   每股收益(一季)
    000803   金宇车城(行情,论坛)                 203.1％      38,548.10           －18.72   －5.57         －0.0268
    600401      G申龙(行情,论坛)                 116.9％     270,382.02             13.11    42.63            0.019
    600156   华升股份(行情,论坛)                 107.1％      49,510.70             26.63   －5.24           0.0094
    600592      G龙溪(行情,论坛)                 106.3％      43,203.67             15.74    20.57           0.1356
    600012      G皖通(行情,论坛)                  92.5％     134,968.51             14.56    12.94           0.1053
    000528      G柳工(行情,论坛)                  90.1％     200,796.24              7.04    12.73             0.16
    600077   国能集团(行情,论坛)                  89.7％      31,488.38             23.80    44.65           0.0372
    000001    深发展A(行情,论坛)                  87.3％     470,867.19             20.74    36.58            0.113
    000906   南方建材(行情,论坛)                  86.4％      82,915.80             35.59   286.27           0.0042
    600079      G人福(行情,论坛)                  82.7％     106,242.99             10.44    16.41            0.035
    600590      G泰豪(行情,论坛)                  80.1％      39,454.47             26.35    19.59           0.0753
    600501      G晨光(行情,论坛)                  78.2％      31,245.02             38.89    53.09           0.0164
    600859     王府井(行情,论坛)                  77.8％      83,039.95             25.66   103.21            0.126
    000899      G赣能(行情,论坛)                  74.8％      74,794.48              9.84    41.16           0.0327
    000629    G新钢钒(行情,论坛)                  74.3％     492,228.43             13.43    10.90            0.119
    600321   国栋建设(行情,论坛)                  74.2％      46,634.76             21.34    50.41             0.05
    600107     美尔雅(行情,论坛)                  73.2％      63,369.52             14.72   142.64           0.0028
    600278      G东创(行情,论坛)                  72.7％      47,957.99             11.19   306.49           0.0229
    600279    G重庆港(行情,论坛)                  70.9％      54,360.07             13.75    35.35            0.053
    000410      G沈机(行情,论坛)                  67.0％      86,779.55             29.71    32.00           0.0395
    600289   亿阳信通(行情,论坛)                  66.4％      63,103.24             31.55    43.92             0.06
    600016      G民生(行情,论坛)                  64.6％   1,741,349.02             10.69    15.51              0.1
    600283   钱江水利(行情,论坛)                  64.5％      34,392.29             10.50    58.72           0.0084
    600824      G益民(行情,论坛)                  63.5％     163,472.03             24.84    15.80            0.233
    600879      G火箭(行情,论坛)                  62.8％     162,078.02             28.63    32.66             0.06


&nbsp&nbsp&nbsp&nbsp注：只考虑近20日均有交易的个股
