&nbsp&nbsp&nbsp&nbsp市场表现较好的红筹指数成分股(5月8日)

    代号       股票名称   股价(港元)    涨跌幅   市盈率
    0836       华润电力          6.6   10.00％      8.8
    0966       中保国际         4.65    8.77％     N／A
    0124       金威啤酒         3.55    8.40％    24.99
    0123       越秀投资         1.89    7.39％     4.78
    1052       越秀交通         3.35    5.51％    12.21
    0906       中国网通        15.35    4.78％     7.53
    0688   中国海外发展          5.8    4.50％     24.2
    0308       香港中旅         2.15    3.86％    17.32
    0941       中国移动         46.5    3.45％    17.76
    0882       天津发展         6.35    3.25％    10.09
    2380       中国电力          2.7    2.86％    13.26
    0270       粤海投资         3.45    2.22％     15.2
    0506   中国粮油国际        4.925    2.07％    20.18
    0363   上海实业控股        17.55    2.03％    16.46
    0828       王朝酒业        3.225    1.57％       22
    0144     招商局国际         27.5    1.29％    25.47
    1070      TCL多媒体         1.19    0.85％    10.29
    0883   中国海洋石油         6.55    0.77％    10.98



