&nbsp&nbsp&nbsp&nbsp市场表现较好的恒生指数成分股(5月8日)  

    代号        股票名称   股价(港元)   涨跌幅   市盈率
    0906        中国网通        15.35   4.78％     7.53
    0941        中国移动         46.5   3.45％    17.76
    0017      新世界发展         15.1   3.07％    17.49
    0330        思捷环球         64.1   2.64％    22.98
    0005        汇丰控股        140.8   2.62％    13.31
    0016      新鸿基地产         92.9   2.31％    21.51
    0144      招商局国际         27.5   1.29％    25.47
    0004      九龙仓集团        32.85   1.23％     5.79
    0012        恒基地产           47   1.18％     7.86
    0001        长江实业        89.65   1.13％    14.84
    0003    香港中华煤气         18.7   0.97％    19.95
    0551        裕元集团         23.3   0.87％    15.59
    1038    长江基建集团         24.8   0.81％     9.31
    0883    中国海洋石油         6.55   0.77％    10.98
    0019   太古股份公司A         79.7   0.63％      6.5
    0101        恒隆地产         16.2   0.62％     8.31
    0013        和记黄埔        77.75   0.52％    23.11
    0011        恒生银行        101.6   0.49％    17.12
    0293        国泰航空         13.7   0.37％    14.03


