沪市：
每100美元兑换人民币800.65元
B股代码 B股简称  B股价格 B股折算价 AB股价格比 A股价格 A股简称  A股代码
                  (美元)                        (元)                  
900901  上电Ｂ股   0.271   2.170      1.479     3.21  Ｇ电子    600602 
900902  二纺Ｂ股   0.189   1.513      1.732     2.62  Ｇ二纺机  600604 
900903  大众Ｂ股   0.566   4.532      1.503     6.81  大众交通(行情,论坛)  600611 
900904  永生Ｂ股   0.384   3.074      2.515     7.73  永生数据(行情,论坛)  600613 
900905  中铅Ｂ股   0.416   3.331      1.879     6.26  Ｇ中铅    600612 
900906  中纺Ｂ股   0.16    1.281      2.834     3.63  中国纺机(行情,论坛)  600610 
900907  *ST发展(行情,论坛)B(行情,论坛)   0.217   1.737      3.742     6.5   *ST发展(行情,论坛)   600614 
900908  氯碱Ｂ股   0.239   1.914      2.649     5.07  Ｇ氯碱    600618 
900909  轮胎Ｂ股   0.399   3.195      2.792     8.92  轮胎橡胶(行情,论坛)  600623 
900910  海立Ｂ股   0.435   3.483      2.056     7.16  Ｇ海立    600619 
900911  金桥Ｂ股   0.689   5.516      1.236     6.82  Ｇ金桥    600639 
900912  外高Ｂ股   0.4     3.203      1.617     5.18  Ｇ外高桥  600648 
900913  *ST联华(行情,论坛)B   0.2     1.601      3.048     4.88  *ST联华(行情,论坛)   600617 
900914  锦投Ｂ股   0.68    5.444      1.380     7.51  Ｇ锦投    600650 
900915  永久Ｂ股   0.403   3.227      2.259     7.29  Ｇ永久    600818 
900916  凤凰Ｂ股   0.226   1.809      1.703     3.08  Ｇ凤凰    600679 
900917  海欣Ｂ股   0.173   1.385      1.906     2.64  Ｇ海欣    600851 
900918  耀皮Ｂ股   0.339   2.714      1.216     3.3   Ｇ耀皮    600819 
900919  *ST大江(行情,论坛)B(行情,论坛)   0.119   0.953      3.169     3.02  *ST大江(行情,论坛)   600695 
900920  上柴Ｂ股   0.366   2.930      2.659     7.79  上柴股份(行情,论坛)  600841 
