          A股换手率前二十名

  代码    股票简称       成交量(万股)  换手率(%)
 000803   金宇车城(行情,论坛)           1962.66      40.26  
 600714   金瑞矿业(行情,论坛)           1005.92      24.99  
 600710   Ｇ常林             3799.85      19.35  
 600509   Ｇ天富             2177.37      18.19  
 600216   Ｇ浙医药           3193.73      18.17  
 000028   Ｇ一致             1257.25      17.62  
 002017   东信和平(行情,论坛)            578.57      17.14  
 000930   Ｇ丰原            12129.70      16.83  
 600644   乐山电力(行情,论坛)           2119.25      16.46  
 600961   Ｇ株冶             2642.37      16.31  
 600408   Ｇ安泰             2515.55      16.26  
 600405   Ｇ动力源            805.40      16.21  
 600614   *ST发展(行情,论坛)             132.10      15.82  
 000963   华东医药(行情,论坛)           1992.18      15.77  
 600482   Ｇ风帆             1663.04      15.63  
 600184   新华光(行情,论坛)              465.71      15.52  
 600495   Ｇ晋西              831.09      15.51  
 600809   Ｇ汾酒             1574.59      15.44  
 600580   Ｇ卧龙             1363.17      15.03  
 600362   Ｇ江铜             4122.28      14.69  

          A股换手率后二十名

  代码    股票简称       成交股数(万股)  换手率(%)
 600456   Ｇ宝钛                8.28       0.11  
 600200   Ｇ吴中               43.77       0.16  
 002024   苏宁电器(行情,论坛)             22.68       0.20  
 000602   Ｇ金马               22.61       0.27  
 000637   茂化实华(行情,论坛)             57.93       0.37  
 000639   金德发展(行情,论坛)             12.46       0.38  
 000408   *ST玉源(行情,论坛)              21.66       0.53  
 600655   豫园商城(行情,论坛)             83.60       0.56  
 600248   *ST秦丰(行情,论坛)              30.32       0.63  
 600862   ST纵横(行情,论坛)               85.12       0.70  
 000892   ST星美(行情,论坛)               85.33       0.71  
 600380   健康元(行情,论坛)              118.16       0.75  
 000748   *ST信息(行情,论坛)             109.75       0.78  
 600664   哈药集团(行情,论坛)            636.38       0.79  
 600515   *ST一投(行情,论坛)             103.53       0.80  
 000787   *ST创智(行情,论坛)             118.40       0.83  
 600603   ST兴业(行情,论坛)              165.22       0.85  
 000757   *ST方向A(行情,论坛)             76.34       0.87  
 600694   大商股份(行情,论坛)            153.54       0.89  
 600877   中国嘉陵(行情,论坛)            195.94       0.89  

          B股换手率前二十名

  代码    股票简称       成交量(万股)  换手率(%)
 200019   深深宝Ｂ            104.58       4.00  
 200025   深特力Ｂ            104.27       3.95  
 200028   一致Ｂ              202.80       3.69  
 900925   机电Ｂ股            542.63       3.01  
 200011   深物业Ｂ            177.21       2.88  
 200570   苏常柴Ｂ            269.77       2.70  
 200045   深纺织Ｂ            122.57       2.48  
 200024   招商局Ｂ            392.60       2.40  
 900941   东信Ｂ股            355.92       2.37  
 200054   建摩Ｂ              266.29       2.22  
 900926   宝信Ｂ              183.64       2.09  
 200725   京东方Ｂ           2241.54       2.01  
 200012   南玻Ｂ              901.71       2.01  
 900935   阳晨Ｂ股            184.85       1.93  
 900915   永久Ｂ股            132.30       1.92  
 200761   本钢板Ｂ            761.03       1.90  
 200770   武锅Ｂ              218.34       1.75  
 200029   深深房Ｂ            196.71       1.64  
 200026   飞亚达Ｂ             93.97       1.61  
 900927   物贸Ｂ股            106.51       1.60  

          B股换手率后二十名

  代码    股票简称       成交股数(万股)  换手率(%)
 200581   苏威孚Ｂ             16.69       0.15  
 200039   中集Ｂ              294.33       0.27  
 200869   张裕Ｂ               42.06       0.31  
 900934   锦江Ｂ股             55.12       0.35  
 200037   深南电Ｂ             58.99       0.38  
 200726   鲁泰Ｂ               62.22       0.38  
 900918   耀皮Ｂ股             84.12       0.45  
 200030   *ST盛润B(行情,论坛)             18.88       0.48  
 200512   闽灿坤Ｂ            203.52       0.49  
 900906   中纺Ｂ股             62.00       0.52  
 900947   振华Ｂ股            177.88       0.54  
 200530   大冷Ｂ               66.87       0.58  
 200541   粤照明Ｂ             48.38       0.59  
 200625   长安Ｂ              249.44       0.59  
 200992   ST中鲁Ｂ             81.27       0.59  
 900932   陆家Ｂ股            298.23       0.59  
 200020   *ST华发B(行情,论坛)             61.04       0.60  
 900907   *ST发展(行情,论坛)B(行情,论坛)             25.49       0.61  
 900929   锦旅Ｂ股             40.29       0.61  
 200016   深康佳Ｂ            129.37       0.64  


  公式：换手率(%) = （成交量 / 流通股本）* 100
