          沪深股市A股震幅前二十名

  代码    股票简称       收盘价    振幅(%)
 600809   Ｇ汾酒         18.09      21.41  
 600118   中国卫星(行情,论坛)       15.85      15.41  
 600084   Ｇ新天          2.40      15.14  
 000548   湖南投资(行情,论坛)        4.20      14.14  
 600843   上工申贝(行情,论坛)        6.62      13.46  
 600415   小商品城(行情,论坛)       63.11      13.46  
 600354   敦煌种业(行情,论坛)        5.52      13.33  
 600117   Ｇ西钢          5.06      13.26  
 600107   美尔雅(行情,论坛)          2.70      13.21  
 600630   Ｇ龙头          3.29      13.04  
 000725   Ｇ京东方        2.75      13.04  
 600580   Ｇ卧龙          7.53      12.97  
 000906   南方建材(行情,论坛)        4.19      12.86  
 600714   金瑞矿业(行情,论坛)        5.65      12.82  
 600742   Ｇ四环          2.81      12.60  
 600980   Ｇ北矿          6.84      12.54  
 000917   Ｇ电广          8.46      12.47  
 000680   山推股份(行情,论坛)        4.94      12.47  
 600893   华润生化(行情,论坛)        6.11      12.43  
 600806   交大科技(行情,论坛)        5.41      12.43  

          沪深股市A股震幅后二十名

  代码    股票简称       收盘价    振幅(%)
 000004   *ST国农(行情,论坛)         3.56       0.00  
 000408   *ST玉源(行情,论坛)         3.36       0.00  
 000657   中钨高新(行情,论坛)       11.73       0.00  
 000748   *ST信息(行情,论坛)         3.02       0.00  
 000776   延边公路(行情,论坛)        4.62       0.00  
 000787   *ST创智(行情,论坛)         2.57       0.00  
 000892   ST星美(行情,论坛)          2.18       0.00  
 600030   Ｇ中信         12.98       0.00  
 600151   Ｇ航天         14.76       0.00  
 600248   *ST秦丰(行情,论坛)         2.94       0.00  
 600456   Ｇ宝钛         40.88       0.00  
 600515   *ST一投(行情,论坛)         1.48       0.00  
 600655   豫园商城(行情,论坛)        9.43       0.00  
 600711   *ST雄震(行情,论坛)         3.72       0.00  
 600721   *ST百花(行情,论坛)         2.04       0.00  
 600728   *ST新太(行情,论坛)         3.54       0.00  
 600773   *ST金珠(行情,论坛)         2.00       0.00  
 600862   ST纵横(行情,论坛)          1.86       0.00  
 600965   福成五丰(行情,论坛)        2.84       0.00  
 000602   Ｇ金马         12.31       0.45  

          沪深股市B股震幅前二十名

  代码    股票简称       收盘价    振幅(%)
 200725   京东方Ｂ        1.39      12.50  
 900933   华新Ｂ股        0.63      12.13  
 900955   茉织华Ｂ        0.71      12.07  
 200025   深特力Ｂ        2.30      12.00  
 900925   机电Ｂ股        0.48      11.74  
 200028   一致Ｂ          3.94      11.41  
 200019   深深宝Ｂ        3.80      11.14  
 200512   闽灿坤Ｂ        1.30       9.68  
 900920   上柴Ｂ股        0.37       9.44  
 200024   招商局Ｂ       13.35       9.33  
 900941   东信Ｂ股        0.26       9.21  
 900936   鄂绒Ｂ股        0.35       8.79  
 900930   邮通Ｂ股        0.39       8.38  
 200045   深纺织Ｂ        2.50       7.82  
 900915   永久Ｂ股        0.40       7.57  
 900937   华电Ｂ股        0.28       7.52  
 900916   凤凰Ｂ股        0.23       7.37  
 900945   海航Ｂ股        0.33       7.32  
 900927   物贸Ｂ股        0.44       7.11  
 200761   本钢板Ｂ        3.56       7.06  

          沪深股市B股震幅后二十名

  代码    股票简称       收盘价    振幅(%)
 900947   振华Ｂ股        1.99       1.60  
 900919   *ST大江B(行情,论坛)        0.12       1.68  
 200521   皖美菱Ｂ        1.54       1.97  
 900908   氯碱Ｂ股        0.24       2.09  
 200016   深康佳Ｂ        2.82       2.14  
 900956   东贝Ｂ股        0.27       2.19  
 900926   宝信Ｂ          0.63       2.21  
 200168   雷伊Ｂ          1.36       2.24  
 900938   *ST天海B(行情,论坛)        0.18       2.27  
 900942   黄山Ｂ股        0.90       2.36  
 900932   陆家Ｂ股        0.71       2.37  
 900929   锦旅Ｂ股        0.50       2.40  
 900907   *ST发展B(行情,论坛)        0.22       2.42  
 900918   耀皮Ｂ股        0.34       2.42  
 200037   深南电Ｂ        3.93       2.55  
 900949   东电Ｂ股        0.43       2.60  
 200726   鲁泰Ｂ          7.10       2.71  
 200160   帝贤Ｂ          1.48       2.72  
 900914   锦投Ｂ股        0.68       2.84  
 900911   金桥Ｂ股        0.69       2.91  


  公式：震幅 = （当日最高价 - 当日最低价）*100 / 前日收盘价
