          A股市盈率最小二十名

  代码    股票简称   收盘价   市盈率
600005    Ｇ武钢      2.72     4.42  
600022    Ｇ济钢      4.39     4.99  
600231    Ｇ凌钢      3.32     5.35  
600307    Ｇ酒钢      3.91     5.59  
600010    Ｇ包钢      1.97     5.63  
600019    Ｇ宝钢      4.36     6.06  
600808    Ｇ马钢      2.71     6.15  
600581    Ｇ八一      2.68     6.38  
000709    Ｇ唐钢      3.22     6.44  
600428    Ｇ中远      6.89     6.56  
000629    Ｇ新钢钒    3.25     6.77  
600508    Ｇ上能      6.99     6.92  
600001    Ｇ邯钢      2.83     7.08  
000825    Ｇ太钢      4.30     7.15  
600500    Ｇ中化      4.14     7.26  
600556    Ｇ北生      3.38     7.37  
000778    Ｇ铸管      6.06     7.39  
000761    Ｇ本钢      4.12     7.40  
600096    Ｇ云天化    9.41     7.41  
600282    南钢股份(行情,论坛)    3.36     7.67  

          B股市盈率最小二十名

  代码    股票简称   收盘价   市盈率
900948    伊泰Ｂ股    1.52     6.31  
200761    本钢板Ｂ    3.56     6.61  
900950    新城Ｂ股    0.83     7.88  
200039    中集Ｂ     10.84     8.48  
200771    杭汽轮Ｂ   14.19     9.24  
200488    晨鸣Ｂ      4.26     9.89  
200726    鲁泰Ｂ      7.10     9.91  
200550    江铃Ｂ      5.86    10.62  
900910    海立Ｂ股    0.43    10.69  
200513    丽珠Ｂ      3.81    11.24  
900949    东电Ｂ股    0.43    11.48  
900914    锦投Ｂ股    0.68    11.97  
200530    大冷Ｂ      3.35    12.01  
900938    *ST天海B(行情,论坛)    0.18    12.01  
900903    大众Ｂ股    0.57    13.04  
200429    粤高速Ｂ    3.47    13.79  
200012    南玻Ｂ      4.37    14.56  
200541    粤照明Ｂ    8.80    14.90  
200413    宝石Ｂ      1.07    14.94  
200022    深赤湾Ｂ   13.47    15.37  

          A股市盈率最大二十名

  代码    股票简称   收盘价   市盈率
600868    梅雁股份(行情,论坛)    1.96  1781.82    
600618    Ｇ氯碱      5.07  1448.57    
001896    豫能控股(行情,论坛)    2.75  1309.52    
000938    Ｇ紫光      8.75   795.45    
600365    Ｇ通葡酒    5.67   776.71    
000638    *ST中辽(行情,论坛)     2.79   680.49    
000751    Ｇ锌业      4.72   655.56    
600893    华润生化(行情,论坛)    6.11   650.00    
600841    上柴股份(行情,论坛)    7.79   649.17    
000514    Ｇ渝开发    3.95   647.54    
000504    赛迪传媒(行情,论坛)    4.16   630.30    
000415    汇通水利(行情,论坛)    4.11   595.65    
600864    岁宝热电(行情,论坛)    7.93   587.41    
000565    渝三峡Ａ    4.52   587.01    
000657    中钨高新(行情,论坛)   11.73   586.50    
600118    中国卫星(行情,论坛)   15.85   560.07    
600727    鲁北化工(行情,论坛)    4.43   553.75    
600885    力诺太阳(行情,论坛)    6.90   543.31    
600640    Ｇ国脉      3.74   526.76    
000955    Ｇ欣龙      2.70   509.43    

          B股市盈率最大二十名

  代码    股票简称   收盘价   市盈率
900908    氯碱Ｂ股    0.24   549.02    
900920    上柴Ｂ股    0.37   246.87    
900946    ST轻骑(行情,论坛)Ｂ    0.14   207.58    
200029    深深房Ｂ    2.33   200.55    
900901    上电Ｂ股    0.27   196.52    
900921    *ST大盈B(行情,论坛)    0.18   160.13    
900956    东贝Ｂ股    0.27   152.24    
900902    二纺Ｂ股    0.19   150.62    
200596    *ST古井B(行情,论坛)    3.14   147.42    
900930    邮通Ｂ股    0.39   135.76    
200019    深深宝Ｂ    3.80   130.83    
900928    ST自仪(行情,论坛)Ｂ    0.21   120.96    
900953    凯马Ｂ股    0.20   116.88    
200521    皖美菱Ｂ    1.54    99.42    
200553    沙隆达Ｂ    1.62    96.17    
900943    开开Ｂ股    0.25    95.32    
200025    深特力Ｂ    2.30    92.08    
900916    凤凰Ｂ股    0.23    88.96    
200017    *ST中华B(行情,论坛)    0.67    88.72    
200056    深国商Ｂ    2.49    81.13    


  公式：市盈率 = 当日收盘价 / （上一年度末每股收益）
  注：仅计算上一年度末每股收益大于零并且收盘价大于零情况
