名称         债券 发行日期 到期日期 总额     利率   价格     收益率(％)
             类别                   亿元      ％    (元)   (单利)  (复利)
05国债(11)   附息 20051020 20101020 333.5    2.14   98.83   2.833   2.706
国债0511     附息 20051020 20101020 333.5    2.14  101.18   2.219   2.138
05国债(12)   附息 20051115 20201115 344.1    3.65  104.66   4.186   3.395
国债0512     附息 20051115 20201115 344.1    3.65  101.76   4.573   3.649
05国债(9)    附息 20050825 20120825 319.4    2.83  101.60   3.122   2.898
国债0509     附息 20050825 20120825 319.4    2.83  102.00   3.041   2.827
国债0513     附息 20051125 20121125 328.4    3.01  101.37   3.260   3.007
06国债(3)    附息 20060327 20160327 340      2.80   98.52   3.426   3.013
国债0603     附息 20060327 20160327 340      2.80  100.34   3.152   2.799
05国债(14)   附息 20051215 20071215 333.9    1.75  100.08   2.159   2.145
国债0514     附息 20051215 20071215 333.9    1.75  100.70   1.757   1.748
06国债(1)    附息 20060227 20130227 330      2.51   99.15   2.946   2.727
国债0601     附息 20060227 20130227 330      2.51  100.50   2.692   2.507
06国债(2)    贴现 20060316 20060616 330      0.00  100.00   0.000   0.000
国债0602     贴现 20060316 20060616 330      0.00   99.67   3.266   3.315
96国债(6)    附息 19960614 20060614 255.3   11.83  112.31  -4.457  -4.494
97国债(4)    附息 19970905 20070905 130      9.78  118.60   0.652   0.653
99国债(5)    附息 19990820 20070820 160      3.28  104.16   1.846   1.846
99国债(8)    附息 19990923 20090923 200      3.30  104.08   2.749   2.668
20国债(4)    附息 20000523 20100523 140      2.87  103.36   2.824   2.713
国债905      附息 20001114 20071114 120      2.63  100.33   3.299   3.272
国债966      附息 19960614 20060614 255.3   11.83  112.80  -8.968  -8.855
国债995      附息 19990820 20070820 160      3.28  103.77   2.154   2.153
国债998      附息 19990923 20090923 200      3.30  103.56   2.921   2.830
国债904      附息 20000523 20100523 140      2.87  103.07   2.907   2.789
21国债(10)   附息 20010925 20110925 200      2.95  101.68   3.173   2.979
国债0115     附息 20011218 20081218 200      3.00  102.16   2.654   2.601
05国债(10)   贴现 20050915 20060915 331.7    0.00   99.40   1.721   1.731
国债0510     贴现 20050915 20060915 331.7    0.00   98.87   3.259   3.294
国债0203     附息 20020418 20120418 200      2.54   97.12   3.347   3.107
21国债(12)   附息 20011030 20111030 200      3.05  101.95   3.176   2.978
国债917      附息 20010731 20210731 240      4.26  109.57   4.707   3.546
21国债(15)   附息 20011218 20081218 200      3.00  102.66   2.448   2.403
21国债(7)    附息 20010731 20210731 240      4.26  110.17   4.629   3.497
20国债(10)   附息 20001114 20071114 120      2.63  102.19   2.017   2.007
国债973      附息 19970905 20070905 130      9.78  117.52   1.399   1.400
国债912      附息 20011030 20111030 200      3.05  101.55   3.268   3.059
02国债(3)    附息 20020418 20120418 200      2.54   97.36   3.294   3.061
国债903      附息 20010424 20080424 120      3.27  101.79   2.424   2.397
21国债(3)    附息 20010424 20080424 120      3.27  102.14   2.238   2.215
国债0210     附息 20020816 20090816 200      2.39  100.37   2.926   2.835
02国债(10)   附息 20020816 20090816 200      2.39  100.81   2.773   2.692
国债0213     附息 20020920 20170920 240      2.60   93.53   4.127   3.329
02国债(13)   附息 20020920 20170920 240      2.60   93.68   4.104   3.313
02国债(14)   附息 20021024 20071024 224      2.65  102.24   2.090   2.081
国债0214     附息 20021024 20071024 224      2.65  101.80   2.401   2.389
国债0215     附息 20021206 20091206 340      2.93  102.54   2.626   2.544
国债0307     附息 20030820 20100820 360      2.66  101.71   2.830   2.710
03国债(7)    附息 20030820 20100820 360      2.66  102.67   2.570   2.471
国债0301     附息 20030219 20100219 350      2.66  100.08   2.909   2.800
03国债(1)    附息 20030219 20100219 350      2.66  101.42   2.505   2.424
03国债(3)    附息 20030417 20230417 260      3.40   99.23   4.476   3.480
国债0303     附息 20030417 20230417 260      3.40   99.31   4.465   3.474
03国债(8)    附息 20030917 20130917 163.8    3.02  101.23   3.442   3.129
国债0308     附息 20030917 20130917 163.8    3.02  100.85   3.513   3.188
03国债(11)   附息 20031119 20101119 310      3.50  105.65   2.664   2.551
国债0311     附息 20031119 20101119 310      3.50  102.20   3.562   3.363
06国债(4)    附息 20060417 20090417 309.6    2.12  100.13   2.164   2.119
国债0604     附息 20060417 20090417 309.6    2.12  100.13   2.164   2.119
04国债(3)    附息 20040420 20090420 304.6    4.42  107.02   2.064   2.023
04国债(4)    附息 20040525 20110525 367.5    4.89  116.22   2.548   2.430
04国债(5)    贴现 20040615 20060615 332.3    0.00   99.80   2.032   2.051
国债0405     贴现 20040615 20060615 332.3    0.00   99.68   3.255   3.303
04国债(7)    附息 20040825 20110825 312.9    4.71  113.83   2.699   2.559
国债0407     附息 20040825 20110825 312.9    4.71  113.03   2.869   2.713
国债0408     附息 20041020 20091020 336.1    4.30  106.38   3.167   3.052
04国债(8)    附息 20041020 20091020 336.1    4.30  109.52   2.180   2.124
04国债(10)   附息 20041125 20111125 359.1    4.86  114.06   2.682   2.538
国债0410     附息 20041125 20111125 359.1    4.86  113.20   2.858   2.695
04国债(11)   附息 20041215 20061215 256.6    2.98  102.14   1.371   1.381
国债0411     附息 20041215 20061215 256.6    2.98  101.58   2.297   2.318
05国债(1)    附息 20050228 20150228 300      4.44  111.77   3.360   3.020
国债0501     附息 20050228 20150228 300      4.44  111.07   3.467   3.106
05国债(3)    附息 20050426 20100426 333.9    3.30  102.63   2.727   2.624
